age,gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,attendance_percentage,internship_experience,dsa_level,coding_practice,projects_completed,aptitude_level,communication_level,mock_interviews,placement_status
25,Male,Other,8.34,81.43,91.57,3,64.02,Yes,Beginner,Regularly,0,Not Started,Good,11,Placed
25,Female,CSE,9.04,87.72,95.44,2,56.61,Yes,Advanced,Occasionally,7,Good,Good,20,Placed
20,Female,Other,8.81,77.28,55.08,1,71.99,No,Intermediate,Occasionally,3,Good,Weak,9,Placed
23,Other,IT,8.99,82.9,57.43,0,82.2,No,Intermediate,None,0,Good,Weak,1,Not Placed
22,Male,Mechanical,7.18,58.12,95.35,1,69.05,Yes,Intermediate,Regularly,4,Not Started,Good,6,Placed
19,Other,Civil,9.09,66.19,85.35,2,52.73,No,Beginner,None,7,Good,Good,12,Placed
25,Male,IT,5.6,70.92,92.38,1,79.97,Yes,Beginner,Occasionally,3,Basic,Weak,2,Not Placed
29,Female,Other,7.72,75.79,59.73,1,95.12,No,Intermediate,Regularly,7,Good,Average,14,Placed
23,Female,Civil,5.03,57.01,78.2,0,69.16,No,Advanced,None,7,Basic,Weak,0,Not Placed
19,Female,Other,6.62,61.16,83.65,1,60.82,No,Advanced,None,2,Not Started,Weak,2,Not Placed
29,Female,Mechanical,6.83,67.18,82.65,1,72.13,Yes,Intermediate,None,8,Basic,Weak,9,Not Placed
22,Other,Other,6.98,97.75,69.59,0,52.42,Yes,Advanced,None,2,Basic,Weak,14,Placed
18,Male,CSE,8.48,69.58,50.74,3,91.02,Yes,Intermediate,None,0,Basic,Weak,5,Not Placed
29,Male,AI-ML,6.94,76.21,77.98,0,91.32,Yes,Advanced,Regularly,1,Not Started,Average,19,Placed
27,Other,IT,7.24,63.63,62.15,2,79.4,No,Intermediate,None,5,Not Started,Good,14,Not Placed
23,Male,AI-ML,6.19,81.87,71.61,3,67.66,No,Advanced,Regularly,9,Not Started,Good,20,Placed
30,Female,Other,6.87,67.35,95.96,0,89.99,Yes,Beginner,None,1,Not Started,Average,6,Not Placed
29,Male,Mechanical,6.14,64.11,69.15,3,77.73,No,Intermediate,Occasionally,5,Good,Good,20,Not Placed
26,Female,IT,5.37,77.73,90.31,0,91.3,No,Intermediate,Occasionally,0,Not Started,Good,4,Not Placed
18,Other,Other,8.02,55.24,59.05,3,81.57,Yes,Advanced,None,10,Basic,Good,3,Placed
28,Male,Civil,8.34,55.34,82.28,1,89.22,No,Intermediate,Occasionally,0,Not Started,Average,17,Not Placed
28,Other,ECE,8.1,64.64,96.9,0,79.93,No,Intermediate,Regularly,4,Good,Average,2,Placed
27,Male,Other,7.32,56.62,54.89,3,70.71,Yes,Intermediate,None,9,Good,Good,16,Placed
29,Female,AI-ML,6.9,59.75,50.4,1,97.9,No,Beginner,Regularly,10,Good,Good,17,Placed
29,Other,IT,9.32,69.91,70.81,0,77.06,No,Beginner,None,8,Basic,Good,17,Placed
20,Male,AI-ML,7.6,90.31,54.45,3,80.25,No,Advanced,Occasionally,7,Not Started,Weak,1,Not Placed
29,Female,IT,7.4,80.17,85.92,0,61.02,Yes,Beginner,Regularly,2,Not Started,Weak,12,Placed
24,Other,Other,5.13,77.56,93.9,1,81.28,Yes,Advanced,Occasionally,2,Not Started,Weak,14,Not Placed
21,Other,CSE,6.71,67.91,70.83,0,78.58,No,Beginner,Occasionally,0,Basic,Average,4,Not Placed
26,Male,Civil,6.9,96.0,62.42,0,59.24,No,Advanced,None,2,Basic,Good,2,Placed
20,Male,Other,6.99,72.47,70.85,2,52.98,No,Beginner,Regularly,10,Good,Average,4,Placed
22,Male,AI-ML,7.9,58.83,84.73,0,80.22,Yes,Beginner,Occasionally,0,Good,Average,4,Placed
20,Female,ECE,7.67,82.15,50.43,2,88.18,Yes,Advanced,None,7,Not Started,Average,4,Placed
24,Male,ECE,8.04,60.01,78.29,0,76.17,Yes,Intermediate,None,0,Basic,Good,2,Not Placed
22,Other,Mechanical,8.82,70.19,79.44,0,61.34,No,Intermediate,None,4,Basic,Weak,2,Placed
26,Other,IT,9.06,77.33,80.61,1,83.33,No,Beginner,Occasionally,8,Not Started,Good,19,Placed
24,Male,AI-ML,8.59,93.47,61.62,1,54.01,No,Advanced,None,6,Not Started,Good,17,Placed
19,Male,Mechanical,9.78,76.72,84.27,1,72.09,No,Intermediate,Regularly,3,Good,Average,19,Placed
21,Other,AI-ML,5.09,85.9,54.39,3,58.17,No,Advanced,Regularly,10,Good,Average,3,Not Placed
26,Female,IT,5.98,98.68,59.56,1,59.22,Yes,Intermediate,Occasionally,8,Good,Average,0,Not Placed
29,Male,Other,5.04,60.79,92.12,0,60.11,No,Advanced,Regularly,8,Not Started,Weak,15,Not Placed
19,Male,Other,8.24,67.09,85.46,0,69.34,No,Beginner,None,1,Not Started,Weak,7,Not Placed
27,Other,ECE,9.49,72.36,50.66,2,52.56,No,Advanced,Occasionally,9,Good,Weak,16,Placed
26,Male,Other,6.22,73.56,61.92,1,69.89,Yes,Intermediate,None,9,Good,Good,7,Not Placed
27,Female,Other,9.64,73.08,60.29,3,75.59,No,Beginner,Occasionally,10,Basic,Average,6,Placed
22,Other,CSE,5.3,94.93,63.0,1,74.16,Yes,Advanced,Occasionally,5,Basic,Good,7,Not Placed
19,Male,ECE,9.67,86.42,61.88,2,69.14,Yes,Intermediate,None,3,Good,Weak,20,Placed
21,Other,Mechanical,6.76,81.75,53.0,2,91.96,Yes,Beginner,Regularly,7,Good,Average,11,Placed
29,Male,Civil,5.51,68.61,72.03,0,57.27,Yes,Advanced,Regularly,10,Basic,Weak,15,Placed
29,Male,CSE,7.43,91.25,85.17,1,75.28,Yes,Intermediate,Occasionally,6,Good,Average,11,Placed
24,Male,Mechanical,6.28,97.02,79.12,2,53.1,No,Advanced,None,6,Basic,Average,18,Not Placed
29,Female,IT,6.42,91.13,82.3,1,53.56,No,Advanced,None,10,Basic,Good,9,Not Placed
30,Female,CSE,6.54,55.07,53.9,1,78.69,Yes,Beginner,Occasionally,9,Basic,Good,6,Not Placed
25,Other,Mechanical,9.02,83.0,95.67,1,78.3,Yes,Beginner,Regularly,8,Not Started,Weak,11,Placed
20,Male,IT,7.7,57.25,90.25,3,93.9,Yes,Intermediate,None,4,Not Started,Good,19,Not Placed
18,Male,ECE,6.56,66.33,88.64,2,77.89,No,Beginner,Regularly,5,Good,Good,4,Not Placed
21,Female,Civil,8.05,57.62,89.5,0,97.99,No,Intermediate,Regularly,0,Basic,Good,15,Placed
19,Male,IT,8.58,81.57,94.77,0,52.43,Yes,Advanced,Occasionally,5,Not Started,Average,8,Placed
25,Female,Other,6.36,85.21,76.12,3,54.9,No,Advanced,Occasionally,1,Good,Good,6,Not Placed
21,Male,AI-ML,7.07,60.04,59.61,0,52.2,No,Intermediate,Regularly,5,Good,Weak,19,Placed
19,Other,IT,5.61,71.89,79.61,0,59.26,Yes,Advanced,None,8,Good,Average,13,Placed
23,Male,IT,5.91,75.07,85.66,1,77.06,Yes,Beginner,None,7,Good,Average,10,Not Placed
23,Male,Civil,8.41,71.24,85.42,0,82.28,No,Advanced,Occasionally,8,Good,Good,6,Placed
27,Female,AI-ML,5.91,60.33,75.03,1,52.28,No,Beginner,Regularly,9,Basic,Average,9,Not Placed
21,Male,Other,7.63,73.43,53.29,2,97.3,No,Intermediate,None,7,Good,Weak,8,Not Placed
23,Male,Mechanical,8.55,88.05,67.81,0,92.11,Yes,Intermediate,None,2,Basic,Weak,3,Placed
30,Female,Mechanical,5.53,58.12,94.2,3,64.83,Yes,Advanced,Occasionally,7,Not Started,Average,15,Not Placed
19,Other,IT,7.84,58.53,78.05,0,53.86,Yes,Advanced,Regularly,5,Good,Good,9,Placed
27,Other,AI-ML,6.28,70.61,75.84,0,58.49,No,Beginner,None,5,Not Started,Good,18,Placed
29,Female,AI-ML,9.81,96.44,62.9,0,56.35,No,Beginner,Occasionally,5,Basic,Average,16,Placed
19,Female,Other,7.42,84.42,67.69,0,56.16,Yes,Advanced,None,2,Basic,Weak,8,Placed
27,Female,Civil,9.03,84.86,92.98,0,75.93,No,Advanced,None,9,Not Started,Average,12,Placed
21,Female,ECE,7.75,70.92,81.99,1,62.29,Yes,Intermediate,None,0,Good,Good,0,Placed
25,Female,Mechanical,5.22,81.12,87.79,3,67.91,No,Intermediate,Occasionally,3,Good,Good,1,Not Placed
24,Other,Civil,8.17,55.45,71.81,1,99.48,Yes,Intermediate,Regularly,9,Not Started,Average,12,Placed
29,Other,CSE,9.76,82.99,80.25,0,84.22,No,Advanced,Occasionally,5,Not Started,Weak,8,Placed
26,Female,Mechanical,8.01,95.18,61.92,0,97.45,No,Advanced,Regularly,10,Not Started,Average,6,Placed
25,Male,Civil,9.1,81.95,83.86,0,57.13,Yes,Advanced,None,9,Good,Weak,15,Placed
22,Female,Mechanical,9.42,93.44,70.52,1,69.11,Yes,Intermediate,Regularly,1,Good,Weak,18,Placed
30,Male,ECE,6.14,86.85,71.24,2,77.74,Yes,Advanced,None,6,Good,Average,6,Placed
19,Female,CSE,6.06,60.3,81.17,2,53.84,Yes,Beginner,None,6,Not Started,Average,5,Not Placed
22,Female,ECE,8.05,94.71,94.94,0,50.21,Yes,Advanced,Occasionally,10,Good,Weak,17,Placed
25,Other,Other,7.06,57.92,53.07,2,83.52,No,Advanced,None,3,Basic,Weak,18,Not Placed
27,Male,CSE,9.2,78.49,89.59,0,82.09,Yes,Advanced,Occasionally,3,Not Started,Weak,10,Placed
26,Male,IT,9.5,61.25,64.03,1,70.54,Yes,Advanced,Regularly,0,Good,Weak,11,Placed
29,Other,Civil,6.77,55.52,71.31,2,74.48,Yes,Advanced,Regularly,1,Not Started,Good,9,Placed
29,Other,CSE,6.18,73.57,51.05,3,70.77,Yes,Beginner,None,8,Basic,Average,12,Not Placed
29,Other,Other,8.9,67.98,64.45,0,51.2,Yes,Beginner,Occasionally,9,Basic,Weak,11,Placed
30,Other,Other,6.37,76.38,74.13,1,66.77,No,Advanced,None,7,Not Started,Average,20,Not Placed
26,Male,ECE,9.11,80.4,52.7,0,58.85,Yes,Intermediate,Occasionally,7,Not Started,Weak,9,Placed
30,Male,Mechanical,7.12,56.92,73.57,0,54.92,Yes,Advanced,Occasionally,8,Basic,Average,19,Placed
30,Female,CSE,8.34,60.41,94.5,0,97.84,Yes,Advanced,Occasionally,6,Not Started,Average,17,Placed
18,Female,Civil,5.48,79.58,55.06,0,79.97,No,Advanced,Regularly,8,Basic,Weak,3,Not Placed
26,Other,CSE,8.12,70.1,86.69,1,86.43,No,Intermediate,Occasionally,9,Basic,Weak,4,Not Placed
24,Other,AI-ML,7.26,87.08,69.66,1,65.77,Yes,Intermediate,Regularly,1,Good,Average,4,Not Placed
26,Other,Mechanical,7.93,83.7,81.45,3,69.66,Yes,Intermediate,Occasionally,5,Not Started,Average,11,Not Placed
25,Female,Civil,5.84,92.21,62.49,2,61.85,No,Beginner,Regularly,2,Not Started,Average,2,Not Placed
18,Female,Civil,8.68,85.47,57.66,0,54.85,No,Intermediate,Regularly,10,Good,Good,7,Placed
29,Female,IT,9.31,73.92,57.7,0,58.95,No,Beginner,Regularly,5,Basic,Weak,1,Not Placed
25,Female,ECE,6.08,84.61,53.38,0,89.88,Yes,Beginner,None,2,Not Started,Good,17,Not Placed
25,Female,IT,5.48,67.12,58.91,0,83.88,Yes,Intermediate,Occasionally,7,Good,Good,8,Not Placed
28,Female,Civil,5.12,68.48,81.88,0,77.35,No,Intermediate,None,10,Good,Weak,12,Not Placed
20,Female,Mechanical,8.21,89.72,92.32,0,73.75,Yes,Intermediate,Occasionally,3,Not Started,Weak,6,Placed
18,Other,CSE,8.04,74.64,89.08,3,96.12,No,Beginner,Occasionally,9,Good,Good,9,Not Placed
25,Other,CSE,7.73,90.13,82.89,0,53.64,No,Advanced,None,5,Basic,Weak,8,Placed
20,Other,Mechanical,6.16,91.19,55.3,0,64.03,No,Intermediate,Regularly,8,Good,Average,14,Placed
20,Other,Civil,6.95,92.73,63.88,1,67.5,Yes,Intermediate,Occasionally,1,Basic,Average,4,Not Placed
18,Female,Other,7.97,95.33,64.87,3,89.12,No,Intermediate,Regularly,1,Basic,Good,11,Not Placed
28,Male,CSE,7.48,73.96,62.0,1,99.63,No,Beginner,None,6,Not Started,Good,0,Not Placed
22,Female,Other,9.94,69.03,74.72,3,62.03,Yes,Beginner,Regularly,1,Good,Weak,11,Placed
27,Male,CSE,5.68,80.62,75.71,1,93.72,No,Advanced,Occasionally,1,Basic,Weak,5,Not Placed
24,Other,CSE,8.48,71.33,67.13,3,91.53,Yes,Intermediate,Occasionally,3,Basic,Good,18,Placed
27,Female,ECE,7.02,81.45,66.98,2,61.23,No,Beginner,Occasionally,8,Good,Good,18,Placed
26,Other,ECE,7.14,86.05,89.77,0,69.97,Yes,Advanced,None,7,Basic,Average,15,Placed
29,Female,AI-ML,8.59,85.29,87.89,1,70.48,No,Intermediate,Occasionally,1,Good,Average,18,Placed
24,Other,IT,8.46,71.48,64.77,0,98.91,No,Beginner,None,7,Not Started,Weak,2,Placed
26,Male,Mechanical,9.96,62.34,93.86,1,59.04,No,Intermediate,Regularly,3,Basic,Average,9,Placed
25,Male,Mechanical,5.64,73.94,95.74,3,89.96,No,Intermediate,Occasionally,1,Basic,Weak,17,Not Placed
29,Male,Mechanical,5.52,61.27,65.68,0,66.71,No,Beginner,Occasionally,10,Good,Weak,12,Not Placed
19,Female,AI-ML,8.62,94.16,67.01,0,86.54,Yes,Beginner,Occasionally,9,Good,Weak,17,Placed
18,Male,ECE,7.89,70.22,74.27,2,71.0,Yes,Beginner,Regularly,6,Good,Average,2,Not Placed
24,Female,Civil,6.37,61.8,95.17,0,78.92,No,Intermediate,Occasionally,5,Good,Good,2,Not Placed
24,Male,Other,5.4,56.12,92.06,0,91.63,No,Intermediate,None,9,Basic,Good,11,Not Placed
25,Male,Other,5.43,83.42,54.92,2,90.21,No,Advanced,Regularly,4,Not Started,Average,19,Not Placed
22,Female,Civil,9.47,83.02,68.85,0,93.32,Yes,Intermediate,Regularly,10,Not Started,Good,6,Placed
20,Female,AI-ML,5.96,69.99,76.56,2,52.98,Yes,Beginner,Regularly,0,Not Started,Weak,7,Not Placed
29,Male,Civil,6.62,58.16,74.15,3,84.6,No,Intermediate,Regularly,1,Not Started,Good,8,Not Placed
25,Female,Mechanical,6.13,73.02,59.31,3,57.0,Yes,Advanced,Regularly,7,Good,Average,13,Placed
23,Male,IT,6.77,68.69,91.22,0,70.79,No,Advanced,None,0,Basic,Good,4,Not Placed
28,Female,CSE,5.35,84.79,82.49,0,77.43,No,Beginner,Regularly,2,Basic,Weak,20,Not Placed
20,Other,Other,7.6,81.65,90.22,2,70.14,No,Beginner,Occasionally,1,Basic,Weak,18,Not Placed
18,Other,ECE,5.34,71.04,91.22,0,75.98,Yes,Advanced,Regularly,4,Good,Average,20,Placed
20,Other,ECE,9.0,64.59,85.92,1,99.83,No,Advanced,Regularly,3,Basic,Average,15,Placed
22,Other,AI-ML,6.17,98.47,71.08,0,56.76,No,Advanced,Regularly,6,Good,Average,11,Placed
20,Other,ECE,7.7,74.98,79.31,0,83.77,No,Beginner,Regularly,4,Basic,Weak,20,Placed
18,Male,Mechanical,9.4,85.28,57.7,0,69.8,Yes,Advanced,Regularly,7,Not Started,Good,3,Placed
22,Other,Other,8.25,61.18,82.33,0,56.65,Yes,Advanced,None,3,Good,Good,7,Placed
27,Other,Civil,7.66,76.37,58.6,0,57.94,Yes,Beginner,None,5,Basic,Average,6,Not Placed
24,Other,Mechanical,6.62,56.21,83.31,1,97.46,No,Intermediate,Regularly,3,Not Started,Good,14,Not Placed
24,Other,AI-ML,6.67,77.24,61.02,1,93.98,Yes,Intermediate,None,1,Not Started,Good,5,Not Placed
28,Female,Mechanical,8.35,97.42,55.64,2,95.35,No,Advanced,Occasionally,0,Not Started,Average,4,Not Placed
26,Male,Civil,9.97,71.91,57.93,1,99.58,Yes,Intermediate,Regularly,0,Good,Average,13,Placed
27,Other,IT,8.31,56.72,50.1,3,60.42,No,Intermediate,Occasionally,7,Good,Weak,20,Placed
27,Other,AI-ML,7.79,56.36,84.5,3,67.77,Yes,Intermediate,Occasionally,3,Basic,Weak,12,Not Placed
29,Other,IT,8.65,72.07,85.16,0,83.46,No,Intermediate,Regularly,4,Not Started,Weak,9,Not Placed
30,Male,CSE,7.33,62.04,74.72,2,74.19,Yes,Advanced,Occasionally,10,Basic,Weak,17,Placed
20,Female,IT,5.3,56.03,57.75,0,70.92,Yes,Intermediate,Occasionally,7,Basic,Good,3,Not Placed
24,Male,CSE,7.81,88.27,54.01,1,67.89,Yes,Intermediate,Occasionally,6,Not Started,Good,7,Placed
18,Female,CSE,9.79,75.18,50.92,0,79.69,No,Beginner,Regularly,7,Basic,Weak,10,Placed
21,Other,IT,5.88,67.73,57.96,0,78.78,Yes,Advanced,Regularly,7,Good,Weak,16,Placed
30,Other,AI-ML,8.45,94.6,92.76,0,58.07,Yes,Beginner,Occasionally,5,Basic,Average,17,Placed
21,Male,Civil,6.0,60.11,61.59,2,73.59,Yes,Beginner,Regularly,9,Not Started,Good,20,Not Placed
22,Male,Mechanical,7.68,97.06,67.01,0,77.67,Yes,Advanced,Regularly,1,Good,Good,10,Placed
24,Female,Mechanical,5.48,68.81,55.06,0,78.51,No,Intermediate,Occasionally,5,Good,Weak,15,Not Placed
24,Female,Civil,7.25,94.09,60.67,0,60.51,Yes,Beginner,Regularly,0,Basic,Good,11,Placed
30,Male,Other,8.78,81.53,74.92,0,87.11,No,Advanced,None,0,Basic,Average,12,Placed
28,Female,Other,6.74,91.38,79.17,0,51.26,No,Intermediate,Regularly,10,Good,Average,15,Placed
30,Male,CSE,8.32,98.3,61.78,0,67.74,No,Advanced,None,2,Basic,Good,20,Placed
21,Female,CSE,8.98,67.69,52.77,1,89.01,No,Beginner,Occasionally,2,Not Started,Weak,0,Not Placed
30,Male,AI-ML,9.64,97.29,68.77,0,78.19,Yes,Intermediate,Regularly,10,Basic,Good,15,Placed
24,Male,ECE,6.17,72.14,61.24,0,63.06,No,Intermediate,Occasionally,4,Basic,Average,14,Not Placed
28,Male,IT,7.0,71.96,60.54,2,84.75,No,Advanced,Occasionally,0,Good,Weak,5,Not Placed
20,Female,CSE,5.76,69.98,96.07,0,78.37,No,Intermediate,Occasionally,9,Basic,Good,11,Not Placed
23,Female,Mechanical,9.96,78.82,79.58,1,89.81,No,Beginner,Occasionally,5,Basic,Weak,7,Placed
29,Female,AI-ML,9.64,61.78,76.73,0,86.75,Yes,Beginner,Occasionally,6,Basic,Weak,6,Placed
19,Male,IT,7.7,79.36,69.96,3,80.51,Yes,Beginner,Regularly,9,Not Started,Average,1,Not Placed
27,Female,AI-ML,9.21,78.84,70.59,3,74.41,No,Advanced,None,10,Basic,Weak,11,Placed
30,Female,IT,7.6,88.52,75.96,0,56.66,No,Intermediate,Regularly,2,Not Started,Good,20,Placed
26,Male,IT,8.12,91.68,83.43,1,63.07,No,Intermediate,Regularly,3,Not Started,Weak,13,Placed
22,Other,Civil,5.45,74.38,83.7,1,70.95,Yes,Intermediate,Regularly,9,Not Started,Weak,15,Placed
23,Male,CSE,8.78,68.3,58.24,1,79.96,Yes,Beginner,Regularly,10,Not Started,Good,10,Placed
29,Female,AI-ML,5.64,66.41,74.01,1,75.69,Yes,Intermediate,None,9,Good,Average,19,Placed
29,Male,AI-ML,9.13,63.56,69.77,3,64.41,Yes,Beginner,Regularly,9,Not Started,Average,8,Placed
29,Other,Civil,8.91,57.54,91.79,2,50.32,Yes,Intermediate,Occasionally,9,Basic,Good,9,Placed
29,Male,Mechanical,8.54,70.07,80.31,0,74.81,No,Beginner,Regularly,9,Not Started,Good,16,Placed
21,Female,Mechanical,5.18,66.89,75.56,0,64.28,Yes,Intermediate,Regularly,2,Basic,Average,11,Not Placed
28,Other,Other,6.52,97.52,55.54,0,86.73,Yes,Advanced,None,0,Not Started,Weak,5,Not Placed
27,Female,CSE,6.32,79.54,79.07,0,51.2,No,Advanced,None,7,Good,Good,18,Placed
24,Other,CSE,6.8,70.28,55.63,0,79.24,Yes,Beginner,Occasionally,9,Not Started,Weak,10,Placed
29,Other,ECE,5.44,80.54,66.19,3,97.07,Yes,Beginner,Regularly,9,Not Started,Good,8,Not Placed
26,Male,Civil,9.68,61.12,56.86,3,58.72,Yes,Intermediate,Regularly,1,Good,Average,20,Placed
24,Male,Mechanical,7.77,74.54,83.22,3,73.58,No,Intermediate,Regularly,0,Not Started,Weak,5,Not Placed
18,Female,IT,6.53,82.55,59.9,3,54.57,Yes,Advanced,Occasionally,7,Basic,Weak,15,Placed
18,Male,AI-ML,6.98,76.51,68.81,3,81.28,No,Intermediate,None,6,Not Started,Good,19,Not Placed
26,Male,CSE,7.24,72.68,92.99,3,77.53,No,Beginner,Occasionally,6,Not Started,Weak,15,Not Placed
28,Other,AI-ML,8.0,98.73,59.81,2,70.37,Yes,Beginner,Regularly,3,Not Started,Good,5,Not Placed
26,Male,AI-ML,7.58,93.73,74.37,3,76.07,Yes,Beginner,None,10,Good,Average,4,Not Placed
21,Other,ECE,9.6,82.43,70.13,1,94.83,Yes,Beginner,None,8,Not Started,Weak,20,Placed
30,Other,Mechanical,7.48,80.05,50.87,1,59.81,Yes,Beginner,Occasionally,5,Not Started,Good,3,Not Placed
26,Other,CSE,9.96,82.31,88.05,1,51.13,No,Advanced,None,1,Basic,Weak,1,Not Placed
20,Female,AI-ML,9.26,63.86,53.31,2,93.08,Yes,Advanced,None,0,Not Started,Good,5,Not Placed
24,Female,CSE,6.04,72.39,72.76,0,78.86,No,Beginner,Regularly,0,Not Started,Good,8,Not Placed
23,Female,IT,9.65,56.74,76.91,0,94.53,No,Intermediate,Regularly,8,Not Started,Good,16,Placed
25,Other,ECE,5.58,75.92,80.16,3,79.85,No,Beginner,None,3,Not Started,Average,13,Not Placed
28,Female,IT,9.09,78.89,83.05,1,90.51,No,Advanced,None,4,Basic,Weak,6,Placed
26,Female,CSE,6.9,65.02,62.16,0,71.48,No,Beginner,Occasionally,2,Basic,Average,18,Placed
22,Male,Other,9.39,97.42,50.48,1,87.49,Yes,Advanced,Occasionally,3,Good,Good,0,Placed
18,Female,CSE,9.34,95.02,84.73,1,95.65,No,Advanced,None,7,Not Started,Good,19,Placed
20,Female,Mechanical,9.03,86.77,75.71,1,78.61,No,Beginner,Regularly,3,Good,Average,14,Placed
27,Other,AI-ML,8.95,78.47,90.13,0,59.04,Yes,Beginner,None,8,Good,Average,17,Placed
29,Other,AI-ML,6.52,93.28,89.43,1,63.44,Yes,Intermediate,None,8,Not Started,Weak,2,Not Placed
25,Other,IT,5.4,60.75,90.48,1,59.93,No,Advanced,Regularly,5,Basic,Good,17,Placed
28,Other,ECE,7.01,89.78,73.28,2,62.34,No,Intermediate,Regularly,1,Basic,Average,1,Not Placed
23,Other,Other,5.87,60.49,66.01,1,65.32,Yes,Beginner,Occasionally,9,Not Started,Good,9,Not Placed
25,Other,Civil,8.47,89.95,87.99,3,77.76,No,Advanced,Occasionally,10,Not Started,Good,10,Not Placed
26,Female,AI-ML,6.73,67.13,71.66,1,79.4,Yes,Intermediate,Occasionally,6,Basic,Weak,2,Not Placed
21,Other,Mechanical,9.88,93.59,58.81,1,71.32,Yes,Intermediate,Occasionally,8,Not Started,Weak,6,Placed
18,Other,IT,8.2,96.54,91.04,2,80.77,No,Intermediate,Regularly,5,Not Started,Weak,7,Not Placed
18,Male,IT,9.11,61.55,92.36,3,54.08,Yes,Beginner,None,2,Not Started,Average,18,Not Placed
27,Female,Civil,5.66,75.36,72.38,2,54.39,No,Beginner,Occasionally,6,Basic,Good,17,Not Placed
21,Female,Mechanical,9.31,98.16,53.63,0,58.59,No,Beginner,Occasionally,4,Good,Average,12,Placed
29,Female,ECE,9.61,76.27,68.62,3,75.9,No,Advanced,Regularly,0,Good,Average,12,Placed
24,Other,Mechanical,7.44,93.0,88.57,1,60.7,Yes,Beginner,Regularly,2,Not Started,Weak,18,Not Placed
19,Other,ECE,8.03,80.9,93.29,1,64.16,No,Advanced,None,4,Basic,Good,11,Placed
20,Other,Mechanical,8.82,71.51,59.77,1,70.02,Yes,Intermediate,None,6,Not Started,Good,16,Placed
18,Male,Mechanical,5.87,67.57,53.21,1,90.59,No,Intermediate,Regularly,2,Basic,Weak,11,Not Placed
22,Other,CSE,7.51,63.94,92.11,1,50.69,No,Beginner,Occasionally,5,Not Started,Good,12,Not Placed
18,Male,IT,6.99,88.52,68.69,1,82.47,Yes,Intermediate,Occasionally,4,Basic,Weak,11,Placed
25,Female,Mechanical,5.73,72.01,76.0,0,83.44,No,Beginner,Occasionally,0,Basic,Average,18,Not Placed
18,Other,Civil,6.84,77.5,96.47,3,89.93,No,Advanced,None,9,Good,Average,13,Not Placed
28,Male,Mechanical,5.34,76.66,53.2,1,96.64,Yes,Intermediate,Occasionally,5,Not Started,Weak,6,Not Placed
18,Male,AI-ML,5.13,80.4,81.12,3,51.01,Yes,Beginner,Occasionally,7,Good,Average,12,Not Placed
19,Other,IT,5.68,93.09,53.56,2,57.69,Yes,Intermediate,Regularly,0,Good,Average,5,Not Placed
19,Female,AI-ML,9.82,98.15,68.02,1,94.31,No,Intermediate,Occasionally,1,Basic,Weak,18,Placed
29,Female,IT,7.75,72.93,88.58,0,72.93,Yes,Beginner,Regularly,3,Not Started,Average,18,Placed
23,Female,AI-ML,9.83,91.41,70.81,1,78.23,Yes,Intermediate,Occasionally,1,Basic,Good,3,Placed
24,Male,Mechanical,7.16,88.64,97.86,0,83.15,No,Intermediate,None,10,Basic,Average,18,Placed
22,Male,Mechanical,6.56,80.24,76.83,1,83.95,Yes,Intermediate,Occasionally,8,Basic,Weak,8,Placed
